title,date,location,meet url id,old weight classes
AFRICAN YOUTH (YOG QUALIFICATION) CHAMPIONSHIPS,"Apr 15, 2014","TUNIS, TUN",?event_id=279,true
EUROPEAN CHAMPIONSHIPS,"Apr 05, 2014","Tel Aviv, ISR",?event_id=278,true
PAN AMERICAN JUNIOR CHAMPIONSHIPS,"Mar 31, 2014","Reno, USA",?event_id=277,true
ISLAMIC SOLIDARITY GAMES,"Mar 27, 2014","Kampala, UGA",?event_id=281,true
SOUTH AMERICAN GAMES,"Mar 07, 2014","Santiago, CHI",?event_id=276,true
2014 ASIAN JUNIOR CHAMPIONSHIP,"Mar 04, 2014","Bangsaen, THA",?event_id=275,true
ASIAN YOUTH (YOG Qualification) CHAMPIONSHIP,"Mar 04, 2014","Bangsaen, THA",?event_id=274,true
ARAB CHAMPIONSHIPS,"Dec 15, 2015","Sharm El Sheikh, EGY",?event_id=348,true
IWF GRAND PRIX 5th RUSSIAN FEDERATION PRESIDENT'S CUP,"Dec 12, 2015","Grozny, RUS",?event_id=342,true
SOUTH-AMERICAN JUNIOR CHAMPIONSHIPS,"Dec 09, 2015","Lima, PER",?event_id=345,true
SOUTH-AMERICAN YOUTH CHAMPIONSHIPS,"Dec 09, 2015","Lima, PER",?event_id=344,true
SOUTH-AMERICAN CHAMPIONSHIPS,"Dec 09, 2015","Lima, PER",?event_id=343,true
3rd INTERNATIONAL QATAR CUP,"Dec 06, 2015","Doha, QAT",?event_id=347,true
2015 IWF WORLD CHAMPIONSHIPS,"Nov 20, 2015","Houston, USA",?event_id=341,true
2015 COMMONWEALTH JUNIOR CHAMPIONSHIPS,"Oct 11, 2015","Balewadi, Pune, IND",?event_id=339,true
2015 COMMONWEALTH YOUTH CHAMPIONSHIPS,"Oct 11, 2015","Balewadi, Pune, IND",?event_id=338,true
2015 COMMONWEALTH CHAMPIONSHIPS,"Oct 11, 2015","Balewadi, Pune, IND",?event_id=337,true
EUROPEAN JUNIOR CHAMPIONSHIPS,"Oct 02, 2015","Klaipeda, LTU",?event_id=336,true
2015 IWF GRAND PRIX,"Sep 21, 2015","Fuzhou, CHN",?event_id=332,true
